name,title,description,datatype,required
id,Ідентифікатор,Порядковий номер або будь-який інший ідентифікатор благодійної допомоги. Наприклад: 12.,string,true
date,Дата отримання,Дата отримання благодійної допомоги у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-26.,date,true
title,Найменування,"Якщо пожертва була надана у грошовій формі, вказати Грошові кошти. Якщо у матеріальній — найменування товарів, послуг, робіт тощо. Наприклад: Ноутбук Apple A1932 MacBook Air 13"".",string,true
purpose,Призначення,"Призначення благодійної допомоги, сформульоване у довільній формі. Наприклад: проведення культурно-розважальних заходів.",string,true
quantity,Кількість,"Якщо пожертва була надана у матеріальній формі, вказати кількість одиниць товарів, послуг, робіт тощо (лише число). Наприклад: 1. У випадку грошових коштів вказати null.",decimal,true
unitName,Назва одиниці виміру,"Якщо пожертва була надана у матеріальній формі, вказати одиницю виміру, наприклад, штука (шт.), квадратний метр (кв. м.), літр (л.) тощо. Наприклад: шт. У випадку грошових коштів вказати null.",string,true
valueAmount,Вартість,"Сума грошових коштів або вартість товарів, послуг, робіт тощо у гривнях (лише число). Наприклад: 2000.00. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
recipientID,Ідентифікатор набувача,"Код ЄДРПОУ юридичної особи, яка є набувачем благодійної допомоги. Наприклад: 01234567.",string,true
recipientName,Назва набувача,"Повна назва юридичної особи, яка є набувачем благодійної допомоги. Наприклад: Чернігівська загальноосвітня школа I-III ст. №2",string,true
donorID,Ідентифікатор благодійника,"Код ЄДРПОУ юридичної особи, яка надає благодійну допомогу. Наприклад: 01234567. Якщо надавачів декілька, розділити значення комою. У випадку ФОП дані про РНОКПП знеособлюються.",string,true
donorName,Назва або ім’я благодійника,"Назва юридичної особи або прізвище, ім’я, по батькові фізичної особи, що є благодійником. Наприклад: Коваль Олександр Сергійович. Якщо надавачів декілька, розділити значення комою.",string,true
actID,Номер акта,"Номер акта приймання-передачі майна (за наявності) без знака «№». Наприклад: 123-45. Якщо акт відсутній, вказати null.",string,false
actDate,Дата акта,"Дата підписання акта приймання-передачі майна (за наявності) у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-26. Якщо акт відсутній, вказати null.",date,false
usageStatus,Стан використання,"Для грошових коштів, послуг/робіт стан використання може мати одне зі значень: Не використано, Використано. Для товарів — Не використано, Використовується, Використано.",string,true
