name,title,description,datatype,required
id,Ідентифікатор,"Унікальним ідентифікатором договору є рік його підписання та номер, що розділені знаком дефіс. Наприклад: 2018-345/п. Розпорядники можуть використовувати власні ідентифікатори.",string,true
number,Номер договору,Номер договору (без знаку «№»). Наприклад: 345/п.,string,true
dateSigned,Дата підписання,Дата підписання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2019-05-30.,date,true
supplierName,Ім'я або назва контрагента,"Назва юридичної особи контрагента або прізвище, ім’я, по батькові ФОП. Наприклад: ТОВ «Реклама-плюс».",string,true
supplierID,Ідентифікатор контрагента,Код ЄДРПОУ юридичної особи контрагента. У випадку ФОП дані про РНОКПП знеособлюються. Наприклад: 01234567.,string,true
disposerName,Назва органу,"Назва розпорядника, який є стороною договору. Наприклад: Виконавчий комітет Вінницької міської ради.",string,true
disposerID,Ідентифікатор органу,"Код ЄДРПОУ розпорядника, який є стороною договору. Наприклад: 01234567.",string,true
description,Опис,Опис предмета договору. Наприклад: Розміщення рекламних засобів за адресою вул. Марка Кропивницького 19.,string,true
periodStartDate,Початок дії,Дата початку дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
periodEndDate,Завершення дії,Дата завершення дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-06.,date,true
valueAmount,Сума договору,"Загальна сума договору. Число вказується без зазначення валюти («грн», «UAH»). Наприклад: 3000. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
valueCurrency,Валюта,"Буквений код валюти, в якій виражена сума, відповідно до ДСТУ ISO 4217 , відповідно до ДСТУ ISO 4217 (https://zakon.rada.gov.ua/rada/show/v0416832-14/conv). Наприклад: EUR.",string,true
status,Статус  договору,"Статус договору може мати одне зі значень: Чинний, Виконаний, Розірваний, Скасований. Наприклад: Чинний.",string,true
url,Посилання,Посилання на перегляд або завантаження договору включно з усіма додатками. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/contract-345.doc.,anyURI,true
