name,title,description,datatype,required
identifier,Ідентифікатор,"Ідентифікатором змін до програми є номер нормативно-правового акта, яким вони затверджені, та дата прийняття у форматі ISO 8601 (рррр-мм-дд), що розділені символом дефіс. Наприклад: 123-2019-05-29. Розпорядники можуть використовувати також власні унікальні ідентифікатори.",string,true
programmeIdentifier,Ідентифікатор програми,"Ідентифікатор програми, до якої внесені зміни з колонки identifier таблиці Programs. Наприклад: 719-2019-05-29.",string,true
programmeTitle,Найменування програми,"Найменування програми, до якої внесені зміни з колонки title таблиці Programs. Наприклад: Програма розвитку позашкільної освіти на 2018—2021 роки.",string,true
orderType,Вид розпорядчого документа,"Вид розпорядчого документа, яким затверджені зміни до програми. Наприклад: Наказ.",string,true
orderTitle,Назва розпорядчого документа,"Назва розпорядчого документа, яким затверджені зміни до програми. Наприклад: Про внесення змін до програми розвитку позашкільної освіти на 2018—2021 роки.",string,true
orderDateAccepted,Дата ухвалення розпорядчого документа,Дата ухвалення розпорядчого документа у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
orderNumber,Номер розпорядчого документа,Номер розпорядчого документа. Наприклад: 1234-р.,string,true
orderURL,Посилання на розпорядчий документ,"Посилання на розпорядчий документ, що оприлюднений у мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc.",anyURI,true
publisherName,Назва видавника,"Повна назва органу, що затвердив розпорядчий документ. Наприклад: Луцька міська рада.",string,true
publisherIdentifier,Ідентифікатор видавника,"Код ЄДРПОУ органу, що затвердив розпорядчий документ. Наприклад: 01234567.",string,true
