name,title,description,datatype,required
identifier,Ідентифікатор об’єкта,Ідентифікатором об’єкта може бути будь-яка унікальна комбінація літер та чисел. Наприклад: 01234567-01.,string,true
name,Назва об’єкта,"Назва, що використовується для позначення об’єкта або розміщується на вивісці. Наприклад: Магазин «Продовольчі товари».",string,true
companyName,Назва суб'єкта господарювання,"Повна назва суб'єкта господарювання відповідно до Єдиного державного реєстру юридичних осіб, фізичних осіб-підприємців і громадських формувань. Наприклад: ФОП Коваль Сергій Вікторович.",string,true
companyIdentifier,Ідентифікатор суб'єкта господарювання,"Код ЄДРПОУ суб'єкта господарювання. Наприклад: 01234567.
У випадку ФОП, дані про РНОКПП знеособлюються.",string,true
activityType,Вид діяльності,Вид діяльності відповідно до Постанови КМУ від 15.06.2006 р. № 833 та ДСТУ 4303:2004. Вид може мати одне зі значень: Роздрібна торгівля; Оптова торгівля; Оптова та роздрібна торгівля; Ресторанне господарство.,string,true
type,Тип об’єкта,Тип об'єкта відповідно до Довідника типів об'єктів оподаткування ДФС (http://sfs.gov.ua/dovidniki--reestri--perelik/dovidniki-/127294.html). Наприклад: Супермаркет.,string,true
openingHours,Графік роботи,"Дні тижня позначаються комбінаціями літер (Пн, Вт, Ср, Чт, Пт, Сб, Нд), години — цифрами у 24-годинному форматі (ГГ:ХХ). Для графіка з понеділка по п’ятницю, з 9:00 до 17:00 запис в таблиці матиме вигляд — Пн-Пт 09:00-17:00. Коли потрібно позначити інтервал днів (з понеділка по п’ятницю) використовується дефіс, коли окремі дні (понеділок та п’ятниця) — кома. Наприклад, графік роботи в понеділок і п’ятницю з 09:00-17:00 матиме такий вигляд: Пн,Пт 09:00-17:00. Якщо графік змінюється протягом тижня, різні режими роботи необхідно записати через кому. Наприклад: Пн-Чт 08:00-17:20, Пт 08:00-16:00.",string,true
openingHoursDescription,Уточнення графіку роботи,"Уточнення у довільній формі щодо обідньої перерви, днів, коли графік діє та ін. Наприклад: Перерва на обід: 12:00-13:00.",string,false
addressPostCode,Поштовий індекс,"Поштовий індекс адреси, за якою розміщений об’єкт. Наприклад: 01234.",string,true
addressAdminUnitL1,Назва країни,"Країна, в якій розміщений об’єкт. У цій колонці має бути зазначено Україна.",string,true
addressAdminUnitL2,Назва регіону,"Назва регіону, де розміщений об’єкт. Наприклад: Полтавська область.",string,true
addressAdminUnitL3,Назва району,"Назва району, де розміщений об’єкт. Наприклад: Броварський район. У разі відсутності вказати null.",string,false
addressPostName,Назва населеного пункту,"Назва населеного пункту або назва селищної чи сільської ради, де розміщений об’єкт. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер будівлі,Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати null.",string,false
addressDescription,Опис розміщення,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Зокрема, назва житлового комплексу, офісного або торгового центру; частина будівлі, наприклад, корпус, крило; приміщення в будівлі, наприклад, квартира, кабінет, офіс, зала; довільний текстовий опис, що дозволяє визначити розміщення.",string,false
authorityName,Назва органу,"Якщо орган місцевого самоврядування видає дозволи на розміщення об’єкта торгівлі, визначає графік роботи в нічний час тощо, у цій та наступних колонках вказуються інформація про дозволи. 
Назва уповноваженого органу. Наприклад: Департамент містобудування та архітектури Дніпровської міської ради.",string,false
authoritytIdentifier,Ідентифікатор органу,Код ЄДРПОУ уповноваженого органу. Наприклад: 01234567.,string,false
permissionNumber,Номер,Номер дозволу (без знаку №). Наприклад: 501.,string,false
permissionIssued,Дата прийняття,Дата видачі дозволу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,false
permissionStatus,Статус,"Статус дозволу може мати одне зі значень: Не набув чинності, Чинний, Скасований, Втратив чинність. Наприклад: Чинний.",string,false
permissionValidFrom,Дійсний з,Дата набуття чинності дозволу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,false
permissionValidThrough,Дійсний до,Дата втрати чинності дозволу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,false
