name,title,description,datatype,required
identifier,Ідентифікатор,Ідентифікатором ярмарку може бути будь-яка унікальна в межах таблиці комбінація літер та чисел. Наприклад: 2019-03.,string,true
name,Назва,Назва ярмарку. Наприклад: Весняний продовольчий ярмарок.,string,true
description,Опис,Довільний опис ярмарку. Наприклад: Щорічний ярмарок органічної продукції фермерських господарств Тернопільської області. Ярмарок включає концертно-розважальну програму щодня з 18:00 до 20:00.,string,true
url,Посилання,Посилання на сторінку ярмарку в мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.oda.gov.ua/fair/.,anyURI,false
startDate,Дата початку,Дата початку ярмарку у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2019-02-03.,date,true
endDate,Дата завершення,Дата завершення ярмарку у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2019-02-06.,date,true
openingHours,Графік роботи,"Дні тижня позначаються комбінаціями літер (Пн, Вт, Ср, Чт, Пт, Сб, Нд), години — цифрами у 24-годинному форматі (ГГ:ХХ). Для графіка з понеділка по п’ятницю, з 9:00 до 17:00 запис в таблиці матиме вигляд — Пн-Пт 09:00-17:00. Коли потрібно позначити інтервал днів (з понеділка по п’ятницю), використовується дефіс, коли окремі дні (понеділок та п’ятниця) — кома. Наприклад, графік роботи в понеділок і п’ятницю з 09:00-17:00 матиме такий вигляд: Пн,Пт 09:00-17:00. Якщо графік змінюється протягом тижня, різні режими роботи необхідно записати через кому. Наприклад: Пн-Чт 08:00-17:20, Пт 08:00-16:00.",string,true
lotValue,Кількість місць,Загальна кількість торгових місць на території ярмарку в одиницях. Наприклад: 150.,integer,true
lotPrice,Орендна плата,"Сума орендної плати, що нараховується за одне місце протягом періоду lotPricePeriod. Число вказується без зазначення валюти («грн», «UAH»). Наприклад: 123.50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо місця на ярмарку безкоштовні, вказати 0.",decimal,true
lotPricePeriod,Період нарахування сплати,"Назва періоду, за який нараховується одинична сплата за місце: година, день, тиждень, місяць. Наприклад, якщо сплата здійснюється кожного дня, необхідно вказати — день. Якщо місця на ярмарку безкоштовні, вказати null.",string,false
addressPostCode,Поштовий індекс,"Поштовий індекс адреси, за якою проводиться ярмарок. Наприклад: 01234.",string,true
addressAdminUnitL1,Назва країни,"Країна, в якій розміщений ярмарок. У цій колонці має бути зазначено Україна.",string,true
addressAdminUnitL2,Назва регіону,"Назва регіону, де проводиться ярмарок. Наприклад: Полтавська область.",string,true
addressAdminUnitL3,Назва району,"Назва району, де проводиться ярмарок. Наприклад: Броварський район. У разі відсутності вказати null.",string,false
addressPostName,Назва населеного пункту,"Назва населеного пункту або назва селищної чи сільської ради, де проводиться ярмарок. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер будівлі,Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати null.",string,false
addressDescription,Опис розміщення,"Назва або опис, що дозволяє чіткіше визначити розміщення. Наприклад: Вздовж алеї.",string,false
organizerName,Назва організатора,"Повна назва організатора, відповідно до Єдиного державного реєстру юридичних осіб, фізичних осіб-підприємців і громадських формувань (ЄДР). Наприклад: Управління економіки Броварської міської ради.",string,true
organizerIdentifier,Ідентифікатор організатора,"Код ЄДРПОУ організатора. Наприклад: 01234567. У випадку ФОП, дані про РНОКПП знеособлюються.",string,true
contactPointName,Контактна особа/Приймальня,"Прізвище, ім’я, по батькові контактної особи, назва організації або приймальні, що відповідає за організацію ярмарку. Наприклад: Ткаченко Марія Петрівна.",string,true
contactPointEmail,Адреса електронної пошти,"Адреса електронної пошти контактної особи, назва організації або приймальні. Наприклад: fair@example.gov.ua.",string,true
contactPointTelephone,Телефон,"Номер телефону має починатися з +380, включати код населеного пункту або оператора та телефонний номер (12 цифр, без пробілів і дужок). Наприклад: +380123456789. В електронних таблицях допускається написання коду країни 380 або використання комбінації ‘+ (апостроф та плюс).",string,true
contactPointURL,"Посилання на сторінку контактної особи, підрозділу або приймальні","Адреса сторінки контактної особи, підрозділу або приймальні в мережі Інтернет (URL). Адреса має розпочинатися з http:// або https://. Наприклад: https://example.gov.ua/example/.",anyURI,true
decisionType,Вид документа,"Якщо проведення ярмарку затверджене розпорядчим документом, у цій та наступних колонках вказуються реквізити документа. Вид документа. Наприклад: Рішення.",string,false
decisionTitle,Назва документа,Повна назва документа. Наприклад: Про проведення сільськогосподарських ярмарків.,string,false
decisionNumber,Номер документа,Номер документа (без знаку №). Наприклад: 501.,string,false
decisionIssued,Дата прийняття,Дата прийняття документа ISO 8601 (рррр-мм-дд). Наприклад: 2017-09-07.,string,false
decisionURL,Посилання на документ,"Посилання на документ, оприлюднений у мережі Інтернет. Адреса має розпочинатися з http:// або https://. Наприклад: https://example.gov.ua/docs/rish-789.",anyURI,false
publisherName,Назва видавника,Повна назва видавника документа. Наприклад: Виконавчий комітет Тернопільської міської ради.,string,false
publisherIdentifier,Ідентифікатор видавника,"Якщо видавник є юридичною особою, вказати його код ЄДРПОУ. Наприклад: 01234567. В іншому випадку зазначити null.",string,false
