name,title,description,datatype,required
identifier,Ідентифікатор,Реєстраційний номер або будь-який інший ідентифікатор заявки. Наприклад: 10.,string,true
dateReceived,Дата подання,Дата подання заявки у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-30.,date,true
number,Номер в черзі,Номер заявки в черзі на отримання місця (ціле число). Наприклад: 19.,integer,true
gender,Стать,"Стать дитини. Зазначається цифрами відповідно до стандарту ISO/IEC 5218:2004: 0 — невідомо, 1 — чоловік, 2 — жінка, 9 — не застосовується. Наприклад: 2.",integer,true
ageGroup,Вікова група,Вікова група відповідного до наявного поділу в закладах. Наприклад: Друга група раннього віку — від 2 до 3 років.,string,true
benefitType,Наявність пільг,Наявність пільг може мати одне зі значень: Так або Ні. Інформація про тип та підставу отримання пільги знеособлюється. Наприклад: Так.,string,true
institutionName,Назва закладу,"Назва закладу, куди була подана заявка. Наприклад: Дошкільний навчальний заклад №2 Шевченківського району м. Києва.",string,true
institutionIdentifier,Ідентифікатор закладу,"Код ЄДРПОУ закладу. Наприклад: 01234567. Якщо код відсутній, вказати null.",string,false
dateProvided,Дата виконання,Дата виконання заявки (надання місця) у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-30.,date,false
status,Статус заявки,"Статус заявки. Наприклад: Чинна, Виконана, Скасована. Розпорядники також можуть використовувати власні статуси.",string,true
