name,title,description,datatype,required
identifier,Ідентифікатор,"Ідентифікатором працівника може бути номер особової справи або будь-яка інша довільна комбінація літер та чисел. Наприклад: ДІ-001. Ідентифікатором НЕ можуть бути персональні дані: дата народження, РНОКПП тощо.",string,true
name,"Прізвище, ім’я, по батькові","Прізвище, ім’я, по батькові педагогічного працівника. Наприклад: Ковальчук Андрій Іванович.",string,true
gender,Стать,"Стать зазначається цифрами відповідно до стандарту ISO/IEC 5218:2004: 0 — невідомо, 1 — чоловік, 2 — жінка, 9 — не застосовується. Наприклад: 2.",string,true
postPrefLabel,Посада,Повна назва посади відповідно до штатного розпису або іншого офіційного документа. Наприклад: вчитель інформатики.,string,true
orgIdentifier,Ідентифікатор закладу,"Код ЄДРПОУ закладу освіти. Наприклад: 01234567. Якщо код ЄДРПОУ відсутній, вказати null.",string,true
orgPrefLabel,Назва закладу,Повна назва закладу освіти. Наприклад: Чернігівська загальноосвітня школа І-ІІІ ступенів №3 Чернігівської міської ради,string,true
educationDegree,Освітній рівень,Освітній рівень педагогічного працівника. Наприклад: магістр.,string,true
educationProfession,Спеціальність,"Спеціальність педагогічного працівника. Наприклад: Викладач математики, фізики, астрономії.",string,true
qualificationCategory,Кваліфікаційна категорія,Кваліфікаційна категорія згідно з Постановою КМУ від 23.12.2015 №1109. Наприклад: спеціаліст вищої категорії.,string,false
pedagogicalTitle,Педагогічне звання,Педагогічне звання згідно з Постановою КМУ від 23.12.2015 №1109. Наприклад: учитель-методист.,string,false
experienceDuarationInYears,Педагогічний стаж,Педагогічний стаж працівника (кількість повних років). Наприклад: 17.,integer,true
homepage,Веб-сторінка,"Посилання на веб-сторінку працівника на сайті закладу освіти (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/head/. Якщо сторінки не ведуться, вказати null.",anyURI,false
mbox,Службова електронна пошта,Адреса службової електронної пошти. Наприклад: contact@example.gov.ua.,string,false
phone,Службовий телефон,"Номер телефону має починатися з +380, включати код населеного пункту або оператора та телефонний номер (12 цифр, без пробілів і дужок). Наприклад: +380123456789. У електронних таблицях допускається написання коду країни 380 або використання комбінації ‘+ (апостроф та плюс). У випадку кількох номерів телефону розділити значення комою.",string,false
