name,title,description,datatype,required
identifier,Ідентифікатор,Унікальним ідентифікатором може бути ідентифікатор адреси з адресного реєстру або будь-яка інша довільна комбінація. Наприклад: lisova-123.,string,true
postCode,Поштовий індекс,П’ятизначний поштовий індекс адреси. Наприклад: 71890.,string,true
adminUnitL1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
adminUnitL2,Регіон,Назва регіону. Наприклад: Полтавська область.,string,true
adminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
postName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
thoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, на якому розміщена адреса. Наприклад: вул. Харківська.",string,true
locatorDesignator,Номер будівлі,Номер може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати null.",string,false
territoryIdentifier,Ідентифікатор території,Ідентифікатор території обслуговування з таблиці Territories. Наприклад: 5.,string,true
