name,title,description,datatype,required
identifier,Ідентифікатор,"Ідентифікатором ордеру є його номер і рік видачі, що розділені символом дефіс. Наприклад: 20-2019. Розпорядники можуть використовувати власні ідентифікатори.",string,true
number,Номер ордера,Номер ордера. Наприклад: 20.,string,true
issued,Дата видачі,Дата видачі ордера у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
authorityName,Назва органу,Назва компетентного органу. Наприклад: Департамент благоустрою Дніпровської міської ради.,string,true
authoritytIdentifier,Ідентифікатор органу,Код ЄДРПОУ компетентного органу. Наприклад: 01234567.,string,true
applicantName,Ім'я або назва заявника,"Прізвище, ім’я, по батькові або назва юридичної особи заявника. Наприклад: Руденко Олександр Іванович.",string,true
applicantIdentifier,Ідентифікатор заявника,Код ЄДРПОУ заявника. Наприклад: 01234567. У випадку ФОП дані про РНОКПП знеособлюються.,string,true
actNumber,Номер акта,Номер акта обстеження зелених насаджень (без знаку №). Наприклад: 101/03.,string,true
actIssued,Дата видачі акта,Дата видачі акта у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
startDate,Дата відкриття,Дата відкриття ордера у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
endDate,Дата закриття,Дата закриття ордера у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
removalEndDate,Термін видалення,"Дата, до якої потрібно провести видалення, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.",date,true
improvementEndDate,Термін відновлення благоустрою,"Дата, до якої потрібно провести благоустрій та озеленення, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.",date,true
