name,title,description,datatype,required
identifier,Ідентифікатор,Ідентифікатор вимірювання або його порядковий номер. Наприклад: 10.,string,true
date,Дата вимірювання,"Дата й час вимірювання у форматі ISO 8601 (YYYY-MM-DDThh:mm:ss). Наприклад: 2016-12-01T13:00:00. Якщо час не фіксується, вказується лише дата. Наприклад: 2016-12-01.",date,true
value,Значення,Радіаційний фон (потужність експозиційної дози). Десяткові значення відділяються крапкою або комою. Наприклад: 12.3. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
unitText,Одиниця вимірювання,Назва одиниці вимірювання може мати одне зі значень: мкР/год або нЗв/год. Наприклад: мкР/год.,string,true
authorityName,Назва організації,"Назва організації, яка здійснювала вимірювання. Наприклад: Департамент цивільного захисту Миколаївської міської ради.",string,true
authorityIdentifier,Ідентифікатор організації,"Код ЄДРПОУ організації, яка здійснювала вимірювання. Наприклад: 01234567.",string,true
deviceName,Назва приладу,"Назва моделі приладу, за допомогою якого здійснювалося вимірювання. Наприклад: МКС-05 «Терра».",string,true
addressPostCode,Поштовий індекс,"Поштовий індекс адреси, за якою здійснювалося вимірювання. Наприклад: 01234.",string,true
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Назва регіону,Назва регіону. Наприклад: Полтавська область.,string,true
addressAdminUnitL3,Назва району,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Назва населеного пункту,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер будівлі,Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати null.",string,false
geoCoordinatesLatitude,Широта,"Географічна широта об'єкта, де здійснювалося вимірювання. Розділювач десяткових значень — крапка. Наприклад: 50.457718.",decimal,false
geoCoordinatesLongitude,Довгота,"Географічна довгота об'єкта, де здійснювалося вимірювання. Розділювач десяткових значень — крапка. Наприклад: 30.487021.",decimal,false
