name,title,description,datatype,required
id,Ідентифікатор,"Ідентифікатором об’єкта може може бути код ЄДРПОУ балансоутримувача та інвентарний номер об’єкта, що розділені знаком дефіс «-». Наприклад: 01234567-10000234. Розпорядники можуть використовувати власні ідентифікатори.",string,true
inventoryNumber,Інвентарний номер,Інвентарний номер об’єкта. Наприклад: 10000234.,string,true
serialNumber,Серійний номер,Серійний номер медичного обладнання. Наприклад: AB 12345. У разі відсутності вказати null.,string,false
passportNumber,Номер паспорта,Номер паспорта медичного обладнання. Наприклад: AB 12345. У разі відсутності вказати null.,string,false
title,Найменування обладнання,Найменування медичного обладнання. Наприклад: Аналізатор біохімічний,string,true
model,Модель обладнання,Модель медичного обладнання. Наприклад: ВА-88А,string,true
producerName,Виробник,Назва виробника медичного обладнання. Наприклад: ТОВ «Медобладнання».,string,true
yearMade,Рік випуску обладнання,Рік випуску медичного обладнання (лише число). Наприклад: 2009.,integer,true
quantity,Кількість,Кількість одиниць медичного обладнання. Наприклад: 3. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
unitName,Одиниця виміру,"Назва одиниці медичного обладнання, наприклад, штука, пара, набір тощо. Наприклад: шт.",string,true
primaryValueAmount,Первісна вартість,"Первісна (переоцінена) вартість медичного обладнання в гривнях без зазначення валюти («грн», «UAH»). Наприклад: 1000,50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
amortizationValueAmount,Сума зносу,"Сума зносу (накопиченої амортизації) медичного обладнання в гривнях без зазначення валюти («грн», «UAH»). Наприклад: 100,00. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
bookValueAmount,Балансова вартість,"Балансова вартість медичного обладнання в гривнях без зазначення валюти («грн», «UAH»). Наприклад: 900,50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
usageDuarationInYears,Корисне використання,"Строк корисного використання медичного обладнання в роках (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 5,5. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
serviceSubgroupTitle,Назва підгрупи послуг,"Назва підгрупи медичних послуг (2-й рівень), які надаються на обладнанні, відповідно до Галузевого класифікатора медичних процедур (послуг) та хірургічних операцій (Наказ МОЗ від 14.02.2007 № 67). Наприклад: Ендоскопічні дослідження.",string,true
serviceSubgroupID,Код підгрупи послуг,"Код підгрупи медичних послуг (2-й рівень), які надаються на обладнанні, відповідно до Галузевого класифікатора медичних процедур (послуг) та хірургічних операцій (Наказ МОЗ від 14.02.2007 № 67). Наприклад: 2A.",string,true
organizationName,Назва баласоутримувача,"Повна назва юридичної особи, яка є балансоутримувачем медичного обладнання. Наприклад: Комунальний заклад «Центральна міська лікарня м. Кіровограда».",string,true
organizationID,ЄДРПОУ балансоутримувача,"Код ЄДРПОУ юридичної особи, яка є балансоутримувачем медичного обладнання. Наприклад: 01411082.",string,true
