name,title,description,datatype,required
identifier,Ідентифікатор,Номер реєстраційного посвідчення лікарського засобу відповідно до Державного реєстру лікарських засобів України. Наприклад: UA/6249/01/02.,string,true
name,Торговельна назва,Торговельна назва засобу/препарату відповідно до Державного реєстру лікарських засобів України. Наприклад: АНАЛЬГІН.,string,true
type,Форма випуску,Форма випуску відповідно до Наказу МОЗ України від 20.07.2006 № 500. Наприклад: Розчин для ін'єкцій.,string,true
quantity,Кількість,"Кількість (залишок) лікарського засобу. Число вказується без зазначення одиниці вимірювання («мл»). Наприклад: 20. Десяткові значення відділяються крапкою або комою. Наприклад: 20.50 або 20,50. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
unitName,Одиниця виміру,"Одиниця виміру лікарського засобу може мати одне зі значень: каністра, мішок, штука, таблетка, флакон, капсула, упаковка, МО, ампула, балон, доза, кілограм, грам, комплект, літр, рулон, метр, набір, пакунок, ящик.",string,true
shelfLifeDate,Строк придатності,"Дата, завершення строку придатності лікарського засобу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30.",date,true
sourceType,Джерело отримання,"Джерело отримання засобу може мати одне зі значень: Кошти державного бюджету, Кошти місцевого бюджету, Благодійна допомога, Гуманітарна допомога. Наприклад: Кошти державного бюджету.",string,true
orderNumber,Номер наказу,Номер наказу (без знаку №). Наприклад: 101/03.,string,true
orderIssued,Дата видання,Дата видання наказу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
orderURL,Посилання,"Посилання на наказ, оприлюднений у мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc.",anyURI,true
distributorIdentifier,Ідентифікатор надавача,Код ЄДРПОУ надавача лікарських засобів та медичних виробів. Наприклад: 01234567.,string,true
distributorName,Назва надавача,Повна назва надавача лікарських засобів та медичних виробів. Наприклад: Управління охорони здоров’я Полтавської ОДА.,string,true
recipientIdentifier,Ідентифікатор отримувача,Код ЄДРПОУ отримувача лікарських засобів та медичних виробів. Наприклад: 01234567.,string,true
recipientName,Назва отримувача,Назва отримувача лікарських засобів та медичних виробів. Наприклад: Одеська міська клінічна інфекційна лікарня.,string,true
