name,title,description,datatype,required
id,Ідентифікатор,Номер реєстраційного посвідчення лікарського засобу відповідно до Державного реєстру лікарських засобів України. Наприклад: UA/6249/01/02.,string,true
name,Торговельна назва,Торговельна назва засобу/препарату відповідно до Державного реєстру лікарських засобів України. Наприклад: АНАЛЬГІН,string,true
type,Форма випуску,Форма випуску відповідно до Наказу МОЗ України від 20.07.2006 № 500. Наприклад: Розчин для ін'єкцій.,string,true
quantity,Кількість,"Кількість (залишок) лікарського засобу. Число вказується без зазначення одиниці вимірювання («шт.», «мл»). Наприклад: 20. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
unitName,Одиниця виміру,"Одиниця виміру лікарського засобу може мати одне зі значень: каністра, мішок, штука, таблетка, флакон, капсула, упаковка, МО, ампула, балон, доза, кілограм, грам, комплект, літр, рулон, метр, набір, пакунок, ящик.",string,true
shelfLifeDate,Строк придатності,"Дата, завершення строку придатності лікарського засобу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2021-05-30.",date,true
dateModified,Дата,"Дата, на яку подається залишок лікарського засобу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.",date,true
organizationIdentifier,Ідентифікатор закладу,Код ЄДРПОУ закладу охорони здоров’я. Наприклад: 01234567.,string,true
organizationName,Назва закладу,Назва закладу охорони здоров’я. Наприклад: Центральна міська лікарня м. Черкас.,string,true
sourceType,Джерело отримання,"Джерело отримання засобу може мати одне зі значень: кошти державного бюджету, кошти місцевого бюджету, благодійна допомога, гуманітарна допомога. Наприклад: кошти державного бюджету.",string,true
