name,title,description,datatype,required
identifier,Ідентифікатор,"Ідентифікатором працівника може бути номер особової справи або будь-яка інша довільна комбінація літер та чисел. Наприклад: ДІ-001. Ідентифікатором НЕ можуть бути персональні дані: дата народження, РНОКПП тощо.",string,true
name,"Прізвище, ім’я, по батькові","Прізвище, ім’я, по батькові працівника. Наприклад: Ковальчук Андрій Іванович.",string,true
gender,Стать,"Стать зазначається цифрами відповідно до стандарту ISO/IEC 5218:2004: 0 — невідомо, 1 — чоловік, 2 — жінка, 9 — не застосовується. Наприклад: 2.",string,true
postPrefLabel,Посада,Повна назва посади відповідно до штатного розпису або іншого офіційного документа. Наприклад: Лікар-педіатр.,string,true
orgIdentifier,Ідентифікатор закладу,Код ЄДРПОУ закладу охорони здоров’я. Наприклад: 01234567.,string,true
orgPrefLabel,Назва закладу,"Повна назва закладу охорони здоров’я відповідно до Єдиного державного реєстру юридичних осіб, фізичних осіб-підприємців і громадських формувань.
Наприклад: Кременчуцька дитяча поліклініка №3",string,true
educationDegree,Освітній рівень,Освітній рівень працівника. Наприклад: магістр.,string,true
educationProfession,Спеціальність,Спеціальність медичного працівника. Наприклад: Педіатрія.,string,true
qualificationCategory,Кваліфікаційна категорія,Звання лікаря-спеціаліста або кваліфікаційна категорія. Наприклад: Вища категорія.,string,false
experienceDuarationInYears,Стаж,Стаж медичного працівника (кількість повних років). Наприклад: 17.,integer,true
homepage,Веб-сторінка,Посилання на веб-сторінку працівника на сайті закладу або веб-сервіс з можливістю запису (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/head/.,anyURI,false
mbox,Службова електронна пошта,Адреса службової електронної пошти. Наприклад: contact@example.gov.ua.,string,false
phone,Службовий телефон,"Номер телефону має починатися з +380, включати код населеного пункту або оператора та телефонний номер (12 цифр, без пробілів і дужок). Наприклад: +380123456789. У електронних таблицях допускається написання коду країни 380 або використання комбінації ‘+ (апостроф та плюс). У випадку кількох номерів телефону розділити значення комою.",string,false
openingHours,Графік прийому,"Дні тижня позначаються комбінаціями літер: Пн, Вт, Ср, Чт, Пт, Сб, Нд, години — цифрами у 24-годинному форматі — ГГ:ХХ. Для графіка з понеділка до п’ятниці, з 9:00 до 17:00 запис в таблиці матиме вигляд — Пн-Пт 09:00-17:00. Коли потрібно позначити інтервал днів (з понеділка до п’ятниці), використовується дефіс, коли окремі дні (понеділок та п’ятниця) — кома. Наприклад, графік прийому в понеділок і п’ятницю з 09:00-17:00 матиме такий вигляд: Пн,Пт 09:00-17:00. Якщо графік змінюється протягом тижня, різні режими прийому необхідно записати через кому. Наприклад: Пн-Чт 08:00-17:20, Пт 08:00-16:00.",string,true
availabilityRestriction,Уточнення графіку прийому,"Уточнення щодо обідньої перерви, днів, коли графік діє та ін. Наприклад: Перерва на обід — 12:00-13:00; Прийом не відбувається у державні вихідні дні.",string,false
roomNumber,Номер кабінету,"Номер кабінету, де відбувається прийом. Наприклад: 205.",string,true
