name,title,description,datatype,required
identifier,Ідентифікатор,Порядковий номер або будь-який інший ідентифікатор будинку або споруди. Наприклад: 0015.,string,true
date,Дата,Дата проведення перевірки/моніторингу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
authorityName,Назва органу,"Назва органу, що здійснив перевірку/моніторинг. Наприклад: Департамент державного архітектурно-будівельного контролю Херсонської міської ради.",string,true
authoritytIdentifier,Ідентифікатор органу,"Код ЄДРПОУ органу, що здійснив перевірку/моніторинг. Наприклад: 01234567.",string,true
entityName,Ім'я або назва суб’єкта,"Прізвище, ім’я, по батькові або назва юридичної особи суб’єкта містобудування, що є відповідальним за дотримання вимог доступності будівель та споруд. Наприклад: КП «Херсонська міська поліклініка №1».",string,true
entityIdentifier,Ідентифікатор суб’єкта,"Код ЄДРПОУ суб’єкта містобудування, що є відповідальним за дотримання вимог доступності будівель та споруд. Наприклад: 01234567. У випадку ФОП, дані про РНОКПП знеособлюються.",string,false
name,Назва об'єкта,Назва будівлі/споруди. Наприклад: Головний корпус Поліклініки №1.,string,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси будівлі/споруди. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,"Назва регіону, де розміщена будівля/споруда. Наприклад: Полтавська область.",string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер будівлі,Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати null.",string,false
