name,title,description,datatype,required
identifier,Ідентифікатор,"Ідентифікатором дозволу є його реєстраційний номер і рік видачі, що розділені символом дефіс. Наприклад: 20-2019. Розпорядники можуть використовувати власні ідентифікатори.",string,true
number,Номер,Реєстраційний номер дозволу. Наприклад: 20.,string,true
issued,Дата видачі,Дата видачі у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2019-05-30.,date,true
authorityName,Назва органу,Назва уповноваженого органу. Наприклад: Відділ з контролю за благоустроєм міста Департаменту контролю Харківської міської ради.,string,true
authoritytIdentifier,Ідентифікатор органу,Код ЄДРПОУ уповноваженого органу. Наприклад: 01234567.,string,true
applicantName,Ім'я або назва заявника,"Прізвище, ім’я, по батькові або назва юридичної особи заявника. Наприклад: Супрун Олександр Іванович.",string,true
applicantIdentifier,Ідентифікатор заявника,"Код ЄДРПОУ заявника. Наприклад: 01234567. У випадку ФОП, дані про РНОКПП знеособлюються.",string,true
type,Вид робіт,"Вид земляних та/або ремонтних робіт відповідно до Додатка 3 Типового порядку, затвердженого Постановою КМУ від 30.10.2013 № 870 (https://zakon0.rada.gov.ua/laws/show/870-2013-%D0%BF). Наприклад: Роботи, пов’язані з інженерними вишукуваннями.",string,true
name,Назва об'єкта,Назва об'єкта благоустрою. Наприклад: Пішохідний тротуар з асфальтним покриттям.,string,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси об'єкта благоустрою. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,"Назва регіону, де розміщений об’єкт благоустрою. Наприклад: Полтавська область.",string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер будівлі,Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати null.",string,false
addressDescription,Опис розміщення,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: Центральна алея.",string,false
status,Статус,"Статус дозволу може мати одне зі значень: Чинний, Чинний зі змінами, Втратив чинність, Скасований, Чинність відновлено. Наприклад: Чинний.",string,true
validFrom,Дата початку дії дозволу,"Дата, з якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.",date,true
validThrough,Дата завершення дії дозволу,"Дата, до якої діє дозвіл, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-06-30.",date,true
url,Посилання,"Посилання на копію дозволу, оприлюднену в мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/. Якщо дозвіл не оприлюднений, вказати null.",anyURI,true
