name,title,description,datatype,required
identifier,Ідентифікатор,Інвентарний номер або інший ідентифікатор майданчика. Наприклад: 100002345.,string,true
type,Тип,"Відповідно до Правил паркування транспортних засобів, затверджених Постановою КМУ від 03.12.2009 № 1342, тип майданчика може мати одне із двох значень: Відведений, Спеціально обладнаний. Наприклад: Відведений.",string,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси майданчика. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,"Назва регіону, де розміщений майданчик. Наприклад: Полтавська область.",string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер будівлі,Номер об’єкта (будівлі) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати null.",string,false
addressDescription,Опис розміщення,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: Непарна сторона вулиці.",string,false
geoCoordinatesLatitude,Географічна широта,Географічна широта центра майданчика. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати null.,decimal,true
geoCoordinatesLongitude,Географічна довгота,Географічна довгота центра майданчика. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати null.,decimal,true
holderName,Назва балансоутримувача,"Повна назва юридичної особи, яка є балансоутримувачем майданчика. Наприклад: Департамент транспортної інфраструктури КМДА.",string,true
holderIdentifier,Ідентифікатор балансоутримувача,"Код ЄДРПОУ балансоутримувача майданчика, Наприклад: 01411082.",string,true
operatorName,Назва оператора,Повна назва оператора майданчика. Наприклад: КП «Парксервіс».,string,true
operatorIdentifier,Ідентифікатор оператора,"Код ЄДРПОУ оператора майданчика, Наприклад: 01411083. У випадку ФОП дані про РНОКПП знеособлюються.",string,true
openingHours,Графік роботи,"Дні тижня позначаються комбінаціями літер (Пн, Вт, Ср, Чт, Пт, Сб, Нд), години — цифрами у 24-годинному форматі (ГГ:ХХ). Для графіка з понеділка по п’ятницю, з 9:00 до 17:00 запис в таблиці матиме вигляд — Пн-Пт 09:00-17:00. Коли потрібно позначити інтервал днів (з понеділка по п’ятницю) використовується дефіс, коли окремі дні (понеділок та п’ятниця) — кома. Наприклад, графік роботи в понеділок і п’ятницю з 09:00-17:00 матиме такий вигляд: Пн,Пт 09:00-17:00. Якщо графік змінюється протягом тижня, різні режими роботи необхідно записати через кому. Наприклад: Пн-Чт 08:00-17:20, Пт 08:00-16:00.",string,true
lotQuantity,Кількість місць,Загальна кількість місць на майданчику. Наприклад: 20.,integer,true
lotQuantityDisabled,Кількість місць для людей із інвалідністю,Кількість місць для людей із інвалідністю. Наприклад: 5.,integer,true
squareValue,Площа,Площа майданчика у квадратних метрах. Число вказується без зазначення одиниці вимірювання («кв. м.»). Наприклад: 200.00. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
price,Вартість паркування,"Вартість паркування з розрахунку на 
одне місце за одну годину (з урахуванням податків та зборів). Число вказується без зазначення валюти («грн», «UAH»). Наприклад: 10.00. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо паркування безкоштовне, вказати 0.",decimal,true
priceDescription,Деталі оплати,"Інформація про знижки, нічні тарифи, час безкоштовної стоянки або інші деталі оплати за паркування. Наприклад: Паркування безкоштовне для пільгових категорій населення.",string,true
paymentType,Тип оплати,"Тип оплати може мати одне з трьох значень: Готівковий, Безготівковий, Готівковий та безготівковий. Наприклад: Готівковий.",string,true
parkingMeterQuantity,Кількість паркоматів,Кількість паркоматів на майданчику. Наприклад: 10.,integer,true
mobileParkingURL,Мобільний паркінг,Адреса сторінки мобільного паркінгу в мережі Інтернет (URL). Адреса має розпочинатися з http:// або https://. Наприклад: https://example.gov.ua/example/.,anyURI,true
