name,title,description,datatype,required
identifier,Ідентифікатор,Інвентарний номер або будь-який інший унікальний ідентифікатор вбиральні. Наприклад: 10000123.,string,true
organizationName,Назва утримувача,"Повна назва юридичної особи або ім’я ФОП, що відповідає за утримання вбиральні. Наприклад: КП «Благоустрій».",string,true
organizationIdentifier,Ідентифікатор утримувача,"Код ЄДРПОУ юридичної особи, що відповідає за утримання вбиральні. Наприклад: 01411082. Дані РНОКПП знеособлюються.",string,true
description,Опис вбиральні,"Опис вбиральні включає важливі подробиці, що не визначені в решті колонок таблиці. Наприклад: Наявна аптечка.",string,false
type,Спеціалізація вбиральні,"Спеціалізація вбиральні може мати одне або кілька значень, що розділені комами: Жіноча та чоловіча, Унісекс, Жіноча, Чоловіча, Чоловічої лише з пісуарами, Дитяча. Наприклад: Жіноча та чоловіча.",string,true
additinalFacilities,Додаткові зручності,"Перелік додаткових зручностей: Кімната для сповивання дитини, Душ або назва будь-яких інших сервісів, які надає утримувач у довільній формі. Наприклад: Кімната для сповивання дитини. У випадку кількох зручностей, розділити значення комами.",string,false
availabilityType,Доступність для людей з інвалідністю,"Перелік категорій осіб, для доступу яких наявні спеціальні засоби: Маломобільні групи населення, Люди з порушеннями зору, Люди з порушеннями слуху. Наприклад: Маломобільні групи населення. У випадку кількох категорій, розділити значення комами.",string,false
price,Вартість послуг,"Вартість послуг у гривнях. Число вказується без зазначення валюти («грн», «UAH»). Наприклад: 10. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо послуги безкоштовні, вказати 0.",decimal,true
paymentType,Тип оплати,"Тип оплати може мати одне зі трьох значень: Готівковий, Безготівковий, Готівковий та безготівковий. Наприклад: Готівковий.",string,true
openingHours,Графік роботи,"Дні тижня позначаються комбінаціями літер (Пн, Вт, Ср, Чт, Пт, Сб, Нд), години — цифрами у 24-годинному форматі (ГГ:ХХ). Для графіка з понеділка до п’ятниці, з 9:00 до 17:00 запис в таблиці матиме вигляд — Пн-Пт 09:00-17:00. Коли потрібно позначити інтервал днів (з понеділка до п’ятниці), використовується дефіс, коли окремі дні (понеділок та п’ятниця) — кома. Наприклад: графік роботи в понеділок і п’ятницю з 09:00-17:00 матиме такий вигляд: Пн,Пт 09:00-17:00. Якщо графік змінюється протягом тижня, різні режими роботи необхідно записати через кому. Наприклад: Пн-Чт 08:00-17:20, Пт 08:00-16:00.",string,true
availabilityRestriction,Обмеження в роботі,"Уточнення в довільній формі щодо перерв, днів, коли графік діє та ін. Наприклад: Під час масових заходів графік роботи подовжений до 00:00.",string,false
addressPostCode,Поштовий індекс,Поштовий індекс адреси розміщення вбиральні. Наприклад: 71890.,string,true
addressAdminUnitL1,Країна,Назва країни. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,Назва регіону. Наприклад: Полтавська область.,string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер будівлі,Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати null.",string,false
addressDescription,Опис розміщення,"Опис вказується за потреби, щоб чіткіше визначити розміщення. Наприклад: Поблизу входу до парку з боку вулиці Льва Толстого.",string,false
geoCoordinatesLatitude,Географічна широта,Географічна широта місця розміщення вбиральні. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати null.,decimal,true
geoCoordinatesLongitude,Географічна довгота,Географічна довгота місця розміщення вбиральні. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати null.,decimal,true
