name,title,description,datatype,required
id,Ідентифікатор показника,Порядковий номер або будь-який інший ідентифікатор показника. Наприклад: 5.,string,true
date,Дата зняття показника,Дата зняття показника у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
organizationName,Назва закладу,"Повна назва закладу відповідно до Єдиного державного реєстра юридичних осіб, фізичних осіб-підприємців і громадських формувань (ЄДР). Наприклад: Київський міський пологовий будинок.",string,true
organizationID,Ідентифікатор закладу,Код ЄДРПОУ закладу. Наприклад: 01234567.,string,true
providerName,Назва постачальника,Повна назва постачальника послуг відповідно до ЄДР. Наприклад: ПАТ «Київтеплоенерго».,string,true
providerID,Ідентифікатор постачальника,Код ЄДРПОУ постачальника послуг. Наприклад: 01234567.,string,true
meterNumber,Ідентифікатор лічильника,Заводський номер лічильника або будь-який його ідентифікатор. Наприклад: ЛВ-210/654.,string,true
type,Тип послуги,Тип комунальної послуги. Наприклад: Централізоване водопостачання.,string,true
quantity,Показник,Показники лічильника або обсяг твердого палива. Наприклад: 100. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
unitName,Одиниця виміру,Назва одиниці виміру показника. Наприклад: кубічний метр.,string,true
