name,title,description,datatype,required
id,Ідентифікатор,"Ідентифікатором об’єкта може бути бюджетний рік та порядковий номер в переліку, що розділені знаком дефіс. Наприклад: 2019-05.",string,true
kpkvkClassID,КПКВК МБ,Код Програмної класифікації видатків та кредитування місцевих бюджетів. Наприклад: 1217310.,string,true
tpkvkClassID,ТПКВК МБ,Код Типової програмної класифікації видатків та кредитування місцевих бюджетів. Наприклад: 7310.,string,true
kfkvkClassID,КФКВК МБ,Код Функціональної класифікації видатків та кредитування бюджету Наприклад: 0443.,string,true
disposerName,"Найменування
головного розпорядника","Найменування
головного розпорядника
коштів місцевого бюджету. Наприклад: Департамент житлового господарства та інфраструктури.",string,true
disposerID,Код ЄДРПОУ головного розпорядника,"Код ЄДРПОУ
головного розпорядника
коштів місцевого бюджету. Наприклад: 01234567.",string,true
executorName,"Найменування
відповідального виконавця",Найменування відповідального виконавця. Наприклад: Департамент житлового господарства та інфраструктури.,string,true
executorID,Код ЄДРПОУ відповідального виконавця,Код ЄДРПОУ відповідального виконавця. Наприклад: 01234567.,string,true
programTitle,Бюджетна програма,Найменування бюджетної програми згідно з Типовою програмною класифікацією видатків та кредитування місцевих бюджетів. Наприклад: Утримання та розвиток мостів/шляхопроводів.,string,true
title,Найменування об’єкта,Найменування об’єкта відповідно до проектно-кошторисної документації. Наприклад: Капітальний ремонт площі Соборної.,string,true
valueAmount,Вартість об’єкта,"Загальна вартість об’єкта у гривнях (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 105090,00. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
periodStartDate,Рік початку,Рік початку строку реалізації об’єкта (лише число). Наприклад: 2018.,gYear,true
periodEndDate,Рік завершення,Рік завершення строку реалізації об’єкта (лише число). Наприклад: 2020.,gYear,true
localBudgeValueAmount,Фінансування з місцевого бюджету,"Сума фінансування з місцевого бюджету в поточному бюджетному році у гривнях (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 105090,00. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
loansValueAmount,Фінансування з позик,"Сума фінансування з позик міжнародних фінансових організацій у поточному бюджетному році у гривнях (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 105090,00. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо фінансування за даним джерелом відсутнє, вказати 0.",decimal,true
dfrrValueAmount,Фінансування з ДФРР,"Сума фінансування з ДФРР у поточному бюджетному році у гривнях (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 105090,00. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо фінансування за даним джерелом відсутнє, вказати 0.",decimal,true
otherValueAmount,Фінансування з інших джерел,"Сума фінансування з інших джерел у поточному бюджетному році у гривнях (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 105090,00. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо фінансування за даним джерелом відсутнє, вказати 0.",decimal,true
contractsValueAmount,Касові видатки,"Фактичний обсяг виконаних касових видатків у поточному бюджетному році у гривнях (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 105090,00. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо видатки не виконані, вказати 0.",decimal,true
constructionReadinessStart,Готовність на початок періоду,Рівень виконання робіт (будівельна готовність) на початок бюджетного періоду у відсотках від 0 до 100 (без знаку «%»). Наприклад: 60.,integer,true
constructionReadinessEnd,Готовність на завершення періоду,Рівень будівельної готовності об’єкта на кінець бюджетного періоду у відсотках від 0 до 100 (без знаку «%»). Наприклад: 100.,integer,true
ocid,Ідентифікатор закупівлі з Prozorro,"Ідентифікатор закупівлі, що внесена до планів закупівель поточного бюджетного року, в систему Prozorro. Наприклад: UA-2019-09-09-000543-a. У випадку кількох закупівель розділити значення комою.",string,false
