name,title,description,datatype,required
id,Ідентифікатор,"Порядковий номер або будь-який інший ідентифікатор тарифу. Наприклад, 5.",string,true
type,Вид послуги,"Вид послуги, на яку надається тариф. Наприклад: Централізоване водопостачання.",string,true
consumersType,Категорія користувачів,"Категорія користувачів, для якої діє тариф (фізичні особи, юридичні особи або будь-які інші категорії, визначені нормативно-правовими актами). Наприклад, фізичні особи. Якщо тариф діє незалежно від категорії, вказати null.",string,false
unitValueAmount,Вартість,"Вартість за одиницю у гривнях з ПДВ (лише число). Наприклад, 100. Десяткові значення відділяються крапкою або комою. Наприклад: 5,50. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо послуга надається безкоштовно, вказати 0.",decimal,true
unitName,Назва одиниці виміру,"Назва одиниці виміру. Наприклад, куб. м.",string,true
status,Статус тарифу,"Статус тарифу: Чинний, Втратив чинність, Скасований, Чинність відновлена. Наприклад, Чинний.",string,true
providerName,Назва постачальника,"Якщо тариф визначається індивідуально для певних суб’єктів господарювання, зазначається інформація про постачальника. В іншому випадку, необхідно вказати null. Повна назва постачальника. Наприклад: АТ «ТеплоВодоПостачання».",string,false
providerID,Ідентифікатор постачальника,"Код ЄДРПОУ постачальника послуг. Наприклад: 01234567. Якщо тариф діє для всіх постачальників, вказати null.",string,false
validFrom,Дійсний з,"Дата, з якої дійсний тариф, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2010-11-14.",date,true
validThrough,Дійсний до,"Дата, до якої дійсний тариф, у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2030-11-14. Якщо дата не встановлена, вказати null.",date,false
legalActType,Вид НПА,"Вид нормативно-правового акта (НПА), яким затверджено тариф. Наприклад: Рішення.",string,true
legalActTitle,Назва НПА,Назва нормативно-правового акта. Наприклад: Про затвердження тарифів на централізоване водопостачання.,string,true
legalActIssued,Дата НПА,Дата ухвалення нормативно-правового акта у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
legalActNumber,Номер НПА,Номер нормативно-правового акта. Наприклад: 1234-р.,string,true
legalActURL,Посилання на НПА,"Посилання на розпорядчий документ, що оприлюднений в мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc.",anyURI,true
publisherName,Назва видавника НПА,Повна назва видавника НПА. Наприклад: Виконавчий комітет Тернопільської міської ради.,string,true
publisherID,Ідентифікатор видавника НПА,Код ЄДРПОУ видавника НПА. Наприклад: 01234567.,string,true
