name,title,description,datatype,required
id,Ідентифікатор,Ідентифікатор об’єкта будівництва може збігатися з ідентифікатором закупівлі в системі Prozorro. Наприклад: UA-2019-01-01-001111-a. Також розпорядники можуть використовувати власні ідентифікатори або порядкові номери.,string,true
ocid,Ідентифікатор закупівлі з Prozorro,Ідентифікатор закупівлі з системи Prozorro. Наприклад: UA-2019-01-01-001111-a.,string,true
title,Назва об'єкта,Назва об'єкта. Наприклад: Ділянка тротуару.,string,true
description,Опис робіт,"Опис робіт та всі інші важливі відомості, які не визначені в інших колонках таблиці. Наприклад: Влаштування твердого покриття тротуару.",string,true
procuringEntityName,Назва замовника,Повна назва замовника. Наприклад: Департамент житлово-комунального господарства Луцької міської ради.,string,true
procuringEntityIdentifier,Ідентифікатор замовника,Код ЄДРПОУ замовника. Наприклад: 01234567.,string,true
suppliersName,Виконавець,"Повна назва виконавця. Наприклад: ТОВ «РемБуд Плюс». Якщо виконавців кілька, то значення потрібно відділяти комами.",string,true
suppliersIdentifier,Ідентифікатор виконавця,"Код ЄДРПОУ виконавця. У випадку ФОП дані про РНОКПП знеособлюються. Наприклад: 30659101. Якщо виконавців кілька, то значення потрібно відділяти комами.",string,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси об'єкта. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,"Назва країни, в якій розміщений об'єкт. У колонці має бути зазначено Україна.",string,true
addressAdminUnitL2,Регіон,Назва регіону. Наприклад: Полтавська область.,string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» і їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер будівлі,Номер будівлі (об’єкта) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати null.",string,false
geoCoordinatesLatitude,Географічна широта,Географічна широта місця розташування об'єкта. Розділювач десяткових значень — крапка. Наприклад: 50.457718. У разі відсутності вказати null.,decimal,false
geoCoordinatesLongitude,Географічна довгота,Географічна довгота місця розташування об'єкта. Розділювач десяткових значень — крапка. Наприклад: 30.487021. У разі відсутності вказати null.,decimal,false
valueAmount,Очікувана вартість,"Очікувана вартість робіт у гривнях (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 120000,00. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
contractsValueAmount,Фактична вартість,"Фактична вартість робіт згідно з укладеними договорами (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 105090,00. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
periodStartDate,Дата початку робіт,Дата початку робіт у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
periodEndDate,Дата завершення робіт,Дата завершення робіт у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-06.,date,true
warrantyDuarationInYears,Гарантійний строк,"Тривалість гарантійного строку в роках (лише число). Десяткові значення відділяються крапкою або комою. Наприклад: 1,5. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
