name,title,description,datatype,required
identifier,Ідентифікатор,Ідентифікатором депутата є номер посвідчення або інша унікальна комбінація літер та чисел. Наприклад: 2345-АБВ.,string,true
identifier_voting,Номер в системі голосування,"Деякі електронні системи голосування замість повного прізвища, ім’я, по батькові використовують лише ідентифікатори депутатів (набір даних «Поіменні результати голосування депутатів»). У цьому разі необхідно зазначити номер депутата в системі для голосування. Наприклад: dep-23.",string,false
name,"Прізвище, ім’я, по батькові","Прізвище, ім’я, по батькові депутата. Наприклад: Ковальчук Андрій Іванович.",string,true
gender,Стать,"Стать зазначається цифрами відповідно до стандарту ISO/IEC 5218:2004: 0 — невідомо, 1 — чоловік, 2 — жінка, 9 — не застосовується. Наприклад: 2.",integer,true
birth_date,Дата народження,Дата народження у форматі ISO 8601 (рррр-мм-дд). Наприклад: 1980-12-01.,date,true
image,Фото,"Посилання на знімок обличчя, що оприлюднений у мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/photo.png. Якщо фото відсутнє, вказати null.",anyURI,true
biography,Біографічні дані,"Біографічні дані відповідно до відомостей, що розміщені на веб-сайті ЦВК. Зокрема, дані про місце проживання, освіту, професійну, політичну діяльність тощо.",string,true
party_name,Назва партії,"Назва місцевої організації партії, яка висувала депутата на виборах. Наприклад: Політична партія «Європейське місто».",string,true
party_identifier,Ідентифікатор партії,"Код ЄДРПОУ місцевої організації партії, яка висувала депутата на виборах. Наприклад: 01234567. Якщо місцева організація партії не має статусу юридичної особи, вказати null.",string,false
email,Електронна пошта,"Адреса електронної пошти. Наприклад, contact@example.gov.ua. У випадку кількох адрес розділити значення комами.",string,true
telephone,Номер телефону,"Номер телефону має починатися з +380, включати код населеного пункту або оператора та телефонний номер (12 цифр, без пробілів і дужок). Наприклад: +380123456789. У електронних таблицях допускається написання коду країни 380 або використання комбінації ‘+ (апостроф та плюс). У випадку кількох номерів телефону розділити значення комою.",string,true
homepage,Веб-сторінка,"Посилання (URL) на сторінку депутата на сайті місцевої ради. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/head/. Якщо сторінка відсутня, вказати null.",anyURI,false
account,Соціальні медіа,"Посилання (URL) на сторінки в соціальних медіа (Facebook, Twitter, Instagram, YouTube тощо), що надані депутатом. Посилання повинні починатися з http:// або https://. Наприклад: https://www.example.com/. У випадку кількох посилань розділити значення комами.",anyURI,false
faction_name,Назва фракції,"Назва фракції, до якої належить депутат. Наприклад: Фракція політичної партії «Європейське місто». Якщо депутат не належить до жодної з фракцій, вказати «Позафракційний».",string,true
faction_post,Посада у фракції,"Посада депутата у фракції. Наприклад: Заступник голови фракції. Якщо посада відсутня, вказати «Член депутатської фракції». Якщо депутат не належить до жодної з фракцій, вказати null.",string,false
commission_name,Назва постійної комісії,"Назва постійної комісії, до якої належить депутат. Наприклад: Бюджетна комісія. Якщо депутат не належить до жодної з постійних комісій, вказати null.",string,false
commission_post,Посада у постійній комісії,"Посада депутата в постійній комісії. Наприклад: Секретар. Якщо посада відсутня, вказати «Член постійної комісії». Якщо депутат не належить до жодної з постійних комісій, вказати null.",string,false
area_identifier,Виборчий округ,"Номер виборчого округу депутата (лише число без знаку «№»). Наприклад: 19. Якщо виборчий округ відсутній, вказати null.",integer,false
address_post_code,Поштовий індекс,"У цій та наступних колонках вказуються атрибути адреси, за якою відбувається прийом громадян депутатом. Поштовий індекс адреси. Наприклад: 01234.",string,true
address_admin_unit_l1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
address_admin_unit_l2,Регіон,Назва регіону. Наприклад: Полтавська область.,string,true
address_admin_unit_l3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
address_post_name,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
address_thoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, де розміщений об’єкт. Наприклад: вул. Харківська.",string,true
address_locator_designator,Номер об’єкта,Номер будинку (об’єкта) може включати числа та букви. Наприклад: 15-А.,string,true
address_locator_building,Номер корпусу,"Номер корпусу зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати null.",string,false
address_locator_name,Назва будівлі або її частини,"Назва або опис, що дозволяє чіткіше визначити розміщення. Зокрема, назва житлового комплексу, школи, лікарні, офісного або торгового центру; частина будівлі, наприклад, крило; приміщення в будівлі, наприклад, квартира, кабінет, офіс, зала; інший варіант написання номера адреси; довільний текстовий опис, що дозволяє визначити розміщення; інший ідентифікатор. Якщо назва будівлі або її частини відсутня, вказати null.",string,false
opening_hours,Графік прийому,"Дні тижня позначаються комбінаціями літер: Пн, Вт, Ср, Чт, Пт, Сб, Нд, години — цифрами у 24-годинному форматі — ГГ:ХХ. Для графіка з понеділка до п’ятниці, з 9:00 до 17:00 запис в таблиці матиме вигляд — Пн-Пт 09:00-17:00. Коли потрібно позначити інтервал днів (з понеділка до п’ятниці), використовується дефіс, коли окремі дні (понеділок та п’ятниця) — кома. Наприклад, графік прийому в понеділок і п’ятницю з 09:00-17:00 матиме такий вигляд: Пн,Пт 09:00-17:00. Якщо графік змінюється протягом тижня, різні режими прийому необхідно записати через кому. Наприклад: Пн-Чт 08:00-17:20, Пт 08:00-16:00.",string,true
opening_hours_description,Уточнення графіка прийому,"Уточнення щодо обідньої перерви, днів, коли графік діє та ін. Наприклад: Перерва на обід — 12:00-13:00; Прийом відбувається лише кожного першого понеділка місяця.",string,false
