name,title,description,datatype,required
number,Номер,Номер загального порядку в черзі на одержання жилих приміщень (ціле число). Наприклад: 19.,integer,true
name,"Прізвище, ім'я та по батькові","Прізвище, ім'я та по батькові заявника. Наприклад: Петренко Олег Іванович.",string,true
recordDecisionDate,Дата рішення про взяття на облік,Дата рішення про взяття на облік у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
recordDecisionNumber,Номер рішення про взяття на облік,Номер рішення про взяття на облік (без знака «№»). Наприклад: 123-р.,string,true
priorityDecisionDate,Дата рішення про включення до списку першочерговиків,Дата рішення про включення до списку першочерговиків у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,false
priorityDecisionNumber,Номер рішення про включення до списку першочерговиків,Номер рішення про включення до списку першочерговиків (без знака «№»). Наприклад: 123-р.,string,false
provisionDecisionDate,Дата рішення про надання жилого приміщення,Дата рішення про надання жилого приміщення у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,false
provisionDecisionNumber,Номер рішення про надання жилого приміщення,Номер рішення про надання жилого приміщення (без знака «№»). Наприклад: 123-р.,string,false
exclusionDecisionDate,Дата рішення про зняття з обліку,Дата рішення про зняття з обліку у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,false
exclusionDecisionNumber,Номер рішення про зняття з обліку,Номер рішення про зняття з обліку (без знака «№»). Наприклад: 123-р.,string,false
