name,title,description,datatype,required
id,Ідентифікатор,"Кадастровий номер земельної ділянки. Наприклад: 1234567890:98:123:9876. Якщо кадастровий номер відсутній, вказати номер документа, що засвідчує право власності на земельну ділянку.",string,true
custodianName,Назва власника,"Повна назва юридичної особи, яка є продавцем, орендодавцем або уповноваженої ним особи. Наприклад: Департамент земельних ресурсів Маріупольської міської ради.",string,true
custodianID,Ідентифікатор власника,"Код ЄДРПОУ юридичної особи, яка є продавцем, орендодавцем або уповноваженої ним особи. Наприклад: 01411082.",string,true
userName,Назва користувача,"Повна назва юридичної особи або ім’я фізичної особи, яка є покупцем або орендарем земельної ділянки. Наприклад: ТОВ «АгроЛогістика».",string,true
userID,Ідентифікатор користувача,"Код ЄДРПОУ юридичної особи, яка є покупцем або орендарем земельної ділянки. Наприклад: 01411082. Дані про номер РНОКПП знеособлюються.",string,true
normativeValueAmount,Нормативна грошова оцінка,"Вартість земельної ділянки у гривнях відповідно до нормативної грошової оцінки земель. Число вказується без зазначення валюти («грн», «UAH» ). Наприклад: 98765,40. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
normativeDate,Дата оцінки,Дата оцінки ділянки у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01.,date,true
kvtspzClassID,Код класу КВЦПЗ,"Код класу, цільового призначення земельної ділянки (Наказ Державного комітету України із земельних ресурсів № 548). Наприклад: 03.07.",string,true
kvtspzClassDescription,Назва класу КВЦПЗ,"Назва класу, цільового призначення земельної ділянки (Наказ Державного комітету України із земельних ресурсів № 548). Наприклад: Для будівництва та обслуговування будівель торгівлі.",string,true
quantity,Площа,"Площа земельної ділянки у га без зазначення одиниць виміру («га»). Десяткові значення відділяються крапкою або комою. Наприклад: 0,0012 або 0.0012. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
contractNumber,Номер договору,Номер договору (без знаку «№»). Наприклад: 123-45.,string,true
contractDateSigned,Дата підписання,Дата підписання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01.,date,true
contractType,Тип договору,"Тип договору може мати одне з чотирьох значень: Купівля-продаж, Оренда, Суперфіцій, Емфітевзис. Наприклад: Оренда.",string,true
contractStatus,Статус договору,"Статус договору може мати одне з чотирьох значень: Чинний, Виконаний, Скасований, Розірваний. Наприклад: Чинний.",string,true
contractPeriodStartDate,Початок строку,"Дата початку строку дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01. У випадку договорів купівлі-продажу, зазначити null.",date,false
contractPeriodEndDate,Завершення строку,"Дата завершення строку дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2041-06-01. У випадку договорів купівлі-продажу, зазначити null.",date,false
contractValueAmaunt,Вартість,"Розмір орендної плати в розрахунку за 1 рік у гривнях. Число вказується без зазначення валюти («грн», «UAH» ). Наприклад: 12345,50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. У випадку договорів купівлі-продажу вказати загальну вартість земельної ділянки.",decimal,true
contractValuePercentage,Розмір від НГО,"Розмір орендної плати у відсотках від нормативної грошової оцінки (НГО). Десяткові значення відділяються крапкою або комою. Наприклад: 4,50 або 4.50. Потрібно дотримуватися одного розділювача для всієї таблиці. У випадку договорів купівлі-продажу зазначити null.",decimal,false
contractValueDescription,Уточнення вартості,"Додаткова інформація про нарахування вартості за договором. Зокрема, інформація про знижки, пільги, індексацію та інші істотні умови.",string,false
contractURL,Посилання на договір,Посилання на оприлюднений договір у мережі Інтернет (URL). Адреса має розпочинатися з http:// або https://. Наприклад: https://example.gov.ua/example/.,anyURI,true
decisionNumber,Номер рішення,У цій та наступних колонках зазначаються реквізити рішення про передачу в користування або приватизацію земельної ділянки. Номер рішення (без знаку №). Наприклад: 501.,string,true
decisionDate,Дата рішення,Дата прийняття рішення у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,string,true
decisionURL,Посилання на рішення,"Посилання на копію рішення, що оприлюднена в мережі Інтернет. Адреса має розпочинатися з http:// або https://. Наприклад: https://example.gov.ua/docs/rish-789.",anyURI,true
publisherName,Назва видавника,"Повна назва органу, що прийняв рішення. Наприклад: Черкаська міська рада.",string,true
publisherID,Ідентифікатор видавника,"Код ЄДРПОУ органу, що прийняв рішення. Наприклад: 01234567.",string,true
