name,title,description,datatype,required
id,Ідентифікатор,Ідентифікатором платежу може бути номер квитанції або будь-яка інша унікальна комбінація літер і цифр. Наприклад: 123456-123.,string,true
contractNumber,Номер договору,"Номер договору, за яким надходить оплата (без знаку «№»). Наприклад: 123-45.",string,true
contractDateSigned,Дата підписання,Дата підписання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01.,date,true
contractCustodianName,Назва управителя,Повна назва юридичної особи (сторони договору) уповноваженої на управління майном. Наприклад: КП «Регулювання орендних відносин».,string,true
contractCustodianID,Ідентифікатор управителя,Код ЄДРПОУ юридичної особи (сторони договору) уповноваженої на управління майном. Наприклад: 01411082.,string,true
contractUserName,Назва користувача,"Повна назва юридичної особи або прізвище, ім'я, по батькові фізичної особи-підприємця (сторони договору), яка є користувачем (орендарем) об'єкта комунальної власності: Наприклад: Бондар Олександр Анатолійович.",string,true
contractUserID,Ідентифікатор користувача,"Код ЄДРПОУ юридичної особи (сторони договору) або РНОКПП ФОП, яка є користувачем (орендарем) об'єкта комунальної власності. Наприклад: 01411082.",string,true
periodStartDate,Початок періоду,"Дата початку періоду, за який здійснюється оплата у форматі ISO 8601 (рррр-мм-дд). Якщо оплата здійснюється щомісяця, то зазначається перше число місяця. Наприклад: 2018-06-01.",date,true
periodEndDate,Кінець періоду,"Дата завершення періоду, за який здійснюється оплата у форматі ISO 8601 (рррр-мм-дд). Якщо оплата здійснюється щомісяця, то зазначається останнє число місяця. Наприклад: 2018-06-30.",date,true
valueAmaunt,Сума за договором,"Сума, що нараховується відповідно до умов договору у гривнях без зазначення валюти («грн.», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
paymentEndDate,Кінцева дата сплати,"Якщо договором передбачений кінцевий термін, до якого має відбутися сплата (наприклад, до 15-го числа поточного місяця), необхідно вказати його дату у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-10-15. Якщо кінцева дата сплати відсутня, вказати null.",date,false
paymentDate,Дата платежу,"Дата надходження платежу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01. Якщо платіж не надійшов, вказати null.",date,false
paymentValueAmaunt,Сума платежу,"Сума платежу у гривнях без значення валюти («грн.», «UAH»). Наприклад: 2225,50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо платіж не надійшов, вказати null.",decimal,false
debtValueAmount,Заборгованість,"Наявна заборгованість у гривнях без значення валюти («грн.», «UAH»). Наприклад: 2225,50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо заборгованість відсутня, вказати 0.",decimal,true
penyValueAmount,Пеня,"Нарахована пеня у гривнях без значення валюти («грн.», «UAH»). Наприклад: 2225,50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо пеня відсутня, вказати 0.",decimal,true
penaltyValueAmount,Штраф,"Нарахований штраф у гривнях без значення валюти («грн.», «UAH»). Наприклад: 2225,50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо штрафи відсутні, вказати 0.",decimal,true
