name,title,description,datatype,required
id,Ідентифікатор,"Ідентифікатором об’єкта може може бути код ЄДРПОУ балансоутримувача та інвентарний номер об’єкта, що розділені знаком дефіс «-». Наприклад: 01234567-10000234. Розпорядники можуть використовувати власні ідентифікатори.",string,true
isPartOf,Назва майнового комплексу,"Назва майнового комплексу, частиною якого є об’єкт. Наприклад: Комплекс авторемонтних майстерень КП «Полтаваелектротранс». Якщо об’єкт не є частиною майнового комплексу, вказати — null.",string,false
title,Назва,Назва об’єкта. Наприклад: Навчальний корпус.,string,true
description,Опис,"Опис об’єкта комунальної власності в довільній формі. Наприклад: гараж розрахований на 5 вантажних транспортних засобів. Кожне місце обладнане оглядовою ямою. Матеріал стін — цегла. Рік побудови — 1965. Висота в'їзних воріт — 5,3 м., висота стелі — 6,5 м.. Останній поточний ремонт проведено у 2005 році. Якщо опис відсутній, вказати null.",string,false
custodianName,Назва власника,"Повна назва юридичної особи, яка є власником об’єкта. Наприклад: Олександрійська міська рада.",string,true
custodianID,Ідентифікатор власника,"Код ЄДРПОУ юридичної особи, яка є власником об’єкта. Наприклад: 01411082.",string,true
holderName,Назва балансоутримувача,"Повна назва юридичної особи, яка є балансоутримувачем об'єкта. Наприклад: Міська лікарня №4 Житомирської міської ради. Якщо балансоутримувач відсутній, зазначити null.",string,false
holderID,Ідентифікатор балансоутримувача,"Код ЄДРПОУ юридичної особи, яка є балансоутримувачем об'єкта. Наприклад: 01411082. Якщо балансоутримувач відсутній, зазначається null.",string,false
userName,Назва користувача,"Повна назва юридичної особи або ім’я фізичної особи-підприємця, яка є користувачем об'єкта комунальної власності. Наприклад: Приватне підприємство «Аптека №3». Якщо користувач збігається з балансоутримувачем, вказати дані останнього.",string,false
userID,Ідентифікатор користувача,"Код ЄДРПОУ юридичної особи, яка є користувачем об'єкта. Наприклад: 01411082. Якщо користувач збігається з балансоутримувачем, вказати дані останнього.",string,false
dk018classID,Код класу ДК 018-2000,"Код класу, який відповідає об’єкту комунальної власності, в Державному класифікаторі будівель та споруд ДК 018-2000. Наприклад, 1242.1.",string,true
dk018classDescription,Назва класу ДК 018-2000,"Назва класу, який відповідає об’єкту комунальної власності, в Державному класифікаторі будівель та споруд ДК 018-2000. Наприклад, Будівлі шкіл та інших середніх навчальних закладів.",string,true
unitName,Назва одиниці виміру,"Одиницею виміру може бути метр квадратний (кв. м.) або, якщо площа невідома, штука (шт.). Наприклад: шт..",string,true
quantity,Площа або кількість штук,"Площа об’єкта комунальної власності у квадратних метрах або кількість штук (якщо площа невідома). Потрібно зазначити лише число без одиниць виміру (кв. м., шт.). Наприклад: 11450,60. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси розташування об’єкта. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,Назва регіону місця розташування об’єкта. Наприклад: Полтавська область.,string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер об’єкта,Номер об’єкта (будівлі) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати null.",string,false
