name,title,description,datatype,required
id,Ідентифікатор,"Кадастровий номер земельної ділянки. Наприклад: 1234567890:98:123:9876. Якщо кадастровий номер відсутній, вказати номер документа, що засвідчує право власності на земельну ділянку.",string,true
custodianName,Назва власника,"Повна назва юридичної особи, яка є власником об’єкта. Наприклад: Олександрійська міська рада.",string,true
custodianID,Ідентифікатор власника,"Код ЄДРПОУ юридичної особи, яка є власником об’єкта. Наприклад: 01411082.",string,true
holderName,Назва балансоутримувача,"Повна назва юридичної особи, яка є балансоутримувачем об'єкта. Наприклад: Міська лікарня №4 Житомирської міської ради. Якщо балансоутримувач відсутній, зазначити null.",string,false
holderID,Ідентифікатор балансоутримувача,"Код ЄДРПОУ юридичної особи, яка є балансоутримувачем об'єкта. Наприклад: 01411082. Якщо балансоутримувач відсутній, зазначається null.",string,false
userName,Назва користувача,"
Повна назва юридичної особи або ім’я фізичної особи-підприємця, яка є користувачем об'єкта комунальної власності. Наприклад: Приватне підприємство «Аптека №3». Якщо користувач збігається з балансоутримувачем, вказати дані останнього. Якщо користувач відсутній, зазначити null.",string,false
userID,Ідентифікатор користувача,"
Код ЄДРПОУ юридичної особи, яка є користувачем об'єкта. Наприклад: 01411082. Якщо користувач збігається з балансоутримувачем, вказати дані останнього. Якщо користувач відсутній, зазначити null.",string,false
kvtspzClassID,Код класу КВЦПЗ,"Код класу, цільового призначення земельної ділянки (Наказ Державного комітету України із земельних ресурсів № 548). Наприклад: 03.07.",string,true
kvtspzClassDescription,Назва класу КВЦПЗ,"Назва класу, цільового призначення земельної ділянки (Наказ Державного комітету України із земельних ресурсів № 548). Наприклад: Для будівництва та обслуговування будівель торгівлі.",string,true
quantity,Площа,"Площа земельної ділянки у га без зазначення одиниць виміру («га»). Десяткові значення відділяються крапкою або комою. Наприклад: 0,0012 або 0.0012. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
normativeValueAmount,Нормативна грошова оцінка,"Вартість земельної ділянки у гривнях відповідно до нормативної грошової оцінки земель. Число вказується без зазначення валюти («грн», «UAH» ). Наприклад: 98765,40. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
normativeDate,Дата оцінки,Дата оцінки ділянки у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01.,date,true
utilitiesAvailable,Підведення комунальних комунікацій,"Підведення комунальних комунікацій до об'єктів комунальної власності. Необхідно вказати перелік, що може містити одне або декілька значень, що розділені комою «,»: постачання електроенергії, постачання природного газу, централізоване водопостачання, централізоване водовідведення, теплопостачання, постачання гарячої води. Наприклад: постачання електроенергії, централізоване водопостачання. Якщо інформація невідома, зазначити «Невідомо». Якщо комунікації відсутні, зазначити null.",string,false
