name,title,description,datatype,required
id,Ідентифікатор,"Ідентифікатор (номер) об'єкта, який перебуває в оренді чи іншому праві користування. Ідентифікатором може бути довільна комбінація літер та чисел. Наприклад: номер договору і порядковий номер об’єкта в договорі, що розділені знаком дефіс «-», 456/78-01.",string,true
title,Назва,"Назва об’єкта, який перебуває в оренді чи іншому праві користування. Наприклад: Місце для торгівлі у вестибюлі Кременчуцької міської лікарні № 1.",string,true
description,Опис,"Опис об’єкта в довільній формі (опис не має дублювати інформацію, що зазначена в інших колонках). Наприклад: гараж розрахований на 5 вантажних транспортних засобів. Кожне місце обладнане оглядовою ямою. Матеріал стін — цегла. Рік побудови — 1965. Висота в'їзних воріт — 5,3 м, висота стелі — 6,5 м. Останній поточний ремонт проведено у 2005 році.",string,false
addressPostCode,Поштовий індекс,Поштовий індекс адреси розташування об’єкта. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,Назва регіону місця розташування об’єкта. Наприклад: Полтавська область.,string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер об’єкта,Номер об’єкта (будівлі) може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати null.",string,false
addressLocatorName,Назва будівлі або її частини,"Назва або опис, що дозволяє чіткіше визначити розміщення. Зокрема, назва житлового комплексу, школи, лікарні, офісного або торгового центру; частина будівлі, наприклад, крило; приміщення в будівлі, наприклад, квартира, кабінет, офіс, зала; інший варіант написання номера адреси; довільний текстовий опис, що дозволяє визначити розміщення; інший ідентифікатор. Якщо назва будівлі або її частини відсутня, вказати null.",string,false
unitName,Одиниця виміру,"Одиницею виміру орендованого майна може бути метр квадратний (кв. м.), штука (шт.) відповідно до умов договору. Наприклад: шт.",string,true
