name,title,description,datatype,required
service_id,Ідентифікатор,Ідентифікатор тижневого графіка роботи маршруту громадського транспорту. Ідентифікатором може бути довільна послідовність літер та чисел. Наприклад: пн-вт-ср-чт-пт.,string,true
monday,Понеділок,"Якщо маршрут функціонує в понеділок, вказати 1, якщо ні — 0. Наприклад: 1.",integer,true
tuesday,Вівторок,"Якщо маршрут функціонує у вівторок, вказати 1, якщо ні — 0. Наприклад: 1.",integer,true
wednesday,Середа,"Якщо маршрут функціонує в середу, вказати 1, якщо ні — 0. Наприклад: 1.",integer,true
thursday,Четвер,"Якщо маршрут функціонує в четвер, вказати 1, якщо ні — 0. Наприклад: 1.",integer,true
friday,П’ятниця,"Якщо маршрут функціонує в п’ятницю, вказати 1, якщо ні — 0. Наприклад: 1.",integer,true
saturday,Субота,"Якщо маршрут функціонує в суботу, вказати 1, якщо ні — 0. Наприклад: 0.",integer,true
sunday,Неділя,"Якщо маршрут функціонує в неділю, вказати 1, якщо ні — 0. Наприклад: 1.",integer,true
start_date,Початок дії графіку,Дата початку дії графіка у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-06-01.,date,true
end_date,Завершення дії графіку,Дата завершення дії графіка у форматі ISO 8601 (рррр-мм-дд). Цей день включається в інтервал. Наприклад: 2018-08-31.,date,true
