name,title,description,datatype,required
stop_id,Ідентифікатор,"Унікальний ідентифікатор зупинки (станції) громадського транспорту. Унікальним ідентифікатором може бути будь-яка комбінація літер та чисел, інвентарний номер зупинки тощо. Наприклад: z-001.",string,true
stop_code,Код,"Якщо у схемах та графіках руху громадського транспорту використовується кодування зупинок, вказати код зупинки (станції). Наприклад: 001. Якщо кодування станцій відсутнє, залишити колонку вільною.",string,false
stop_name,Назва,"Назва зупинки (станції), яка використовується у схемах та графіках руху громадського транспорту. Наприклад: Дніпровська набережна.",string,true
stop_desc,Опис,"Кількісна та якісна інформація, що описує характеристики зупинки. Наприклад: Зупинка приймає транспорт на автобусних та тролейбусних маршрутах. До складу павільйону входить кіоск із продажу продовольчих товарів (балансоутримувач — Управління орендних відносин Одеської міської ради). Загальна площа 30 кв. м.",string,false
stop_lat,Географічна широта,Географічна широта зупинки (станції). Розділювачем десяткових значень є крапка. Наприклад: 50.123456.,decimal,true
stop_lon,Географічна довгота,Географічна довгота зупинки (станції). Розділювачем десяткових значень є крапка. Наприклад: 30.123456.,decimal,true
address_post_code,Поштовий індекс,"Якщо географічні координати зупинки відсутні, у цій та наступних колонках зазначається адреса, за якою розміщена зупинка. Поштовий індекс адреси. Наприклад: 01234.",string,true
address_admin_unit_l1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
address_admin_unit_l1,Регіон,Назва регіону. Наприклад: Полтавська область.,string,true
address_admin_unit_l1,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
address_post_name,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
address_thoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
address_locator_designator,Номер об’єкта,Номер може включати числа та букви. Наприклад: 15-А.,string,true
address_description,Опис розміщення,Опис вказується за потреби чіткіше визначити розміщення. Наприклад: кільце для розвороту транспорту.,string,false
zone_id,Тарифна зона,"Якщо у місті наявні тарифні зони, необхідно вказати назву тарифної зони. Якщо тарифні зони відсутні, вказати 0. Наприклад: 0.",string,true
stop_url,Веб-сторінка,Посилання на веб-сторінку з інформацією про зупинку. Посилання має починатися з http:// або https://. Наприклад: http://example.com/stop/,anyURI,false
location_type,Тип зупинки,"Тип зупинки кодується однією з цифр: 0 — зупинка; 1 — станція; 2 — вхід чи вихід на станції (за умови, якщо використовується колонка parent_station). Наприклад: 0.",integer,true
parent_station,Приналежність до станції,"Якщо зупинка (вхід чи вихід) розміщені на станції, необхідно вказати ідентифікатор станції з колонки stop_id. У такому випадку в таблиці окремо вказуються станція та зупинка на станції. В іншому разі необхідно залишити колонку порожньою. Наприклад: z-021.",string,false
stop_timezone,Часовий пояс,"Часовий пояс, в якому розміщена зупинка. У колонці необхідно зазначити Europe/Kyiv.",string,false
wheelchair_boarding,Доступність,Обладнання зупинки для маломобільних груп населення кодується цифрами: 0 — невідомо; 1 — хоча б один транспортний засіб обладнаний спеціальними засобами; 2 — інфраструктура відсутня. Для станцій використовуються таке кодування: 0 — умови зупинки відповідають умовам станції; 1 — інфраструктура наявна; 2 — інфраструктура відсутня. Наприклад: 1.,integer,false
