name,title,description,datatype,required
identifier,Ідентифікатор,Код ЄДРПОУ розповсюджувача. Наприклад: 01234567. У випадку ФОП дані про РНОКПП знеособлюються.,string,true
name,Ім'я або назва,"Прізвище, ім’я, по батькові ФОП або назва юридичної особи, що є розповсюджувачем зовнішньої реклами. Наприклад: ТОВ «Київреклама».",string,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси місцезнаходження розповсюджувача. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,Назва регіону. Наприклад: Полтавська область.,string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу місцезнаходження тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер будівлі,Номер будівлі може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазнається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності, вказати null.",string,false
addressLocatorName,Назва будівлі або її частини,"Назва або опис, що дозволяє чіткіше визначити розміщення. Зокрема, назва житлового комплексу, школи, лікарні, офісного або торгового центру; частина будівлі, наприклад, крило; приміщення в будівлі, наприклад, квартира, кабінет, офіс, зала; інший варіант написання номера адреси; довільний текстовий опис, що дозволяє визначити розміщення; інший ідентифікатор. Якщо назва будівлі або її частини відсутня, вказати null.",string,false
contactPointName,Назва приймальні або ім’я контактної особи,"Прізвище, ім’я, по батькові контактної особи або назва приймальні розповсюджувача (за наявності). Наприклад: Відділ управління рекламними засобами.",string,true
contactPointEmail,Електронна пошта,Адреса електронної пошти контактної особи або приймальні. Наприклад: example@example.com.ua. У випадку кількох адрес розділити значення комою.,string,true
contactPointTelephone,Телефон,"Номер має починатися з +380, включати код населеного пункту або оператора та телефонний номер (12 цифр, без пробілів і дужок). Наприклад: +380123456789. У електронних таблицях допускається написання коду країни 380 або використання комбінації ‘+ (апостроф та плюс). У випадку кількох номерів телефону значення розділити комою.",string,true
contactPointURL,Посилання,Адреса веб-сайту розповсюджувача в мережі Інтернет (URL). Адреса має розпочинатися з http:// або https://. Наприклад: https://ad.com.ua/.,anyURI,true
