name,title,description,datatype,required
identifier,Ідентифікатор,Реєстраційний номер або будь-який інший ідентифікатор адреси. 2019-345/п.,string,true
authorityName,Назва органу,Назва уповноваженого органу. Наприклад: Департамент містобудування та архітектури Дніпровської міської ради.,string,true
authoritytIdentifier,Ідентифікатор органу,Код ЄДРПОУ уповноваженого органу. Наприклад: 01234567.,string,true
applicantName,Ім'я або назва заявника,"Прізвище, ім’я, по батькові або назва юридичної особи заявника. Наприклад: Супрун Олександр Іванович.",string,true
applicantIdentifier,Ідентифікатор заявника,Код ЄДРПОУ заявника. Наприклад: 01234567. У випадку ФОП дані про РНОКПП знеособлюються.,string,true
decisionTitle,Назва рішення,Повна назва рішення про присвоєння адреси. Наприклад: Про присвоєння адрес.,string,false
decisionNumber,Номер рішення,Номер рішення про присвоєння адреси (без знака №). Наприклад: 410.,string,true
decisionIssued,Дата рішення,Дата рішення у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,false
decisionURL,Посилання,"Посилання на рішення, оприлюднене в мережі Інтернет. Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example.doc.",string,true
parcelNumber,Кадастровий номер,"Кадастровий номер земельної ділянки, на якій розміщується об’єкт будівництва. Наприклад: 01234567890:01:012:0123.",string,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси об'єкта будівництва. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,Назва регіону (назва адміністративно-територіальної одиниці найвищого рівня). Наприклад: Полтавська область.,string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressObjectName,Назва об’єкта,"Назва гідрографічного, соціально-економічного, природно-заповідного або іншого подібного об’єкта (за наявності). Наприклад: урочище Вільшане. У разі відсутності вказати null.",string,false
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,false
addressLocatorDesignator,Номер об’єкта,"Номер об’єкта (групи будівель і споруд підприємства (як єдиного майнового комплексу), будівлі, споруди). Номер може включати числа та букви. Наприклад: 15-А.",string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати null.",string,false
statusType,Статус,"Статус адреси: Чинна, Чинна зі змінами, Скасована, Чинність відновлено. Наприклад: Чинна.",string,true
statusDescription,Підстава зміни статусу,"Інформація про підставу для зміни статусу адреси. Наприклад: Наказ Департаменту містобудування та архітектури Дніпровської міської ради №234 від 12.03.2019. Якщо зміни відсутні, вказати null.",string,false
