name,title,description,datatype,required
identifier,Ідентифікатор,Реєстраційний номер будівельного паспорта. Наприклад: 2019-345/п.,string,true
orderIssued,Дата видачі,Дата видачі у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
authorityName,Назва органу,Назва уповноваженого органу. Наприклад: Департамент містобудування та архітектури Дніпровської міської ради.,string,true
authoritytIdentifier,Ідентифікатор органу,Код ЄДРПОУ уповноваженого органу. Наприклад: 01234567.,string,true
applicantName,Ім'я або назва замовника,"Прізвище, ім’я, по батькові або назва юридичної особи замовника. Наприклад: Супрун Олександр Іванович.",string,true
applicantIdentifier,Ідентифікатор замовника,Код ЄДРПОУ замовника. Наприклад: 01234567. У випадку фізичних осіб дані про РНОКПП знеособлюються.,string,true
type,Вид будівництва,"Вид будівництва відповідно до Наказу Мінрегіону України від 16.05.2011 № 45: Нове будівництво, Реконструкція, Реставрація, Капітальний ремонт.",string,true
name,Назва об'єкта,Назва об'єкта будівництва. Наприклад: Житловий будинок.,string,true
parcelNumber,Кадастровий номер,"Кадастровий номер земельної ділянки, на якій розміщується об’єкт будівництва. Наприклад: 12345678901:01:012:0123.",string,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси об'єкта будівництва. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,"Назва регіону, де розміщений об’єкт будівництва. Наприклад: Полтавська область.",string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» та їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, де розміщений об’єкт. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер об’єкта,Номер може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати null.",string,false
status,Статус,"Статус будівельного паспорта може мати одне зі значень: Чинний, Чинний зі змінами, Втратив чинність, Скасований, Чинність відновлено. Наприклад: Чинний.",string,true
statusDescription,Підстава зміни статусу,"Інформація про підставу для зміни статусу документа. Наприклад: Наказ Департаменту містобудування та архітектури Дніпровської міської ради № 234 від 12.03.2019. Якщо зміни відсутні, вказати null.",string,false
url,Посилання,"Посилання на копію будівельного паспорта, оприлюднену в мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/.",anyURI,true
