name,title,description,datatype,required
identifier,Ідентифікатор,Номер або будь-який інший ідентифікатор містобудівних умов та обмежень. Наприклад: 123.,string,true
orderNumber,Номер наказу,Номер наказу про затвердження містобудівних умов та обмежень. Наприклад: 2018-20а.,string,true
orderIssued,Дата видання наказу,Дата наказу у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
authorityName,Назва органу,Назва уповноваженого органу. Наприклад: Департамент містобудування та архітектури Дніпровської міської ради.,string,true
authoritytIdentifier,Ідентифікатор органу,Код ЄДРПОУ уповноваженого органу. Наприклад: 01234567.,string,true
applicantName,Ім'я або назва замовника,"Прізвище, ім’я, по батькові або назва юридичної особи замовника. Наприклад: ТОВ «Будівельні технології».",string,true
applicantIdentifier,Ідентифікатор замовника,Код ЄДРПОУ замовника. Наприклад: 01234567. У випадку ФОП дані про РНОКПП знеособлюються.,string,true
type,Вид будівництва,"Вид будівництва відповідно до Наказу Мінрегіону України № 45 від 16.05.2011: Нове будівництво, Реконструкція, Технічне переоснащення діючих підприємств, Реставрація, Капітальний ремонт.",string,true
name,Назва об'єкта,Назва об'єкта будівництва. Наприклад: Житловий будинок.,string,true
parcelNumber,Кадастровий номер,"Кадастровий номер земельної ділянки, на якій розміщується об’єкт будівництва. Наприклад: 12345678901:01:012:0123.",string,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси об'єкта будівництва. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,"Назва регіону, де розміщений об’єкт будівництва. Наприклад: Полтавська область.",string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» і їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо, де розміщений об’єкт. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер об’єкта,Номер може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати null.",string,false
status,Статус,"Статус містобудівних умов та обмежень може мати одне зі значень: Чинні, Чинні зі змінами, Втратили чинність, Скасовані, Чинність відновлено.  Наприклад: Чинні.",string,true
changesDescription,Зміни,"Інформація про внесення змін до містобудівних умов та обмежень. Наприклад: Наказ Департаменту містобудування та архітектури Дніпровської міської ради №234 від 12.03.2019. Якщо зміни відсутні, вказати null.",string,false
cancellationDescription,Скасування,"Опис підстави для скасування або зупинення дії містобудівних умов та обмежень. Наприклад: Наказ Департаменту містобудування та архітектури Дніпровської міської ради №234 від 12.03.2019. Якщо підстави відсутні, вказати null.",string,false
url,Посилання,"Посилання на примірник містобудівних умов та обмежень, оприлюднених в мережі Інтернет (URL). Посилання має починатися з http:// або https://. Наприклад: https://www.example.gov.ua/example/.",anyURI,true
