name,title,description,datatype,required
id,Ідентифікатор,"Унікальним ідентифікатором договору є його номер та рік підписання, що розділені знаком дефіс. Наприклад: 345/п-2018. Розпорядники можуть використовувати власні ідентифікатори.",string,true
number,Номер договору,Номер договору. Наприклад: 345/п.,string,true
dateSigned,Дата підписання,Дата підписання договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2014-05-30.,date,true
authorityName,Назва органу,"Назва органу, який є стороною договору. Наприклад: Департамент містобудування та архітектури Дніпровської міської ради.",string,true
authoritytIdentifier,Ідентифікатор органу,"Код ЄДРПОУ органу, який є стороною договору. Наприклад: 01234567.",string,true
customerName,Ім'я або назва замовника,"Прізвище, ім’я, по батькові або назва юридичної особи замовника. Наприклад: ФОП Коваленко Олена Василівна.",string,true
customerIdentifier,Ідентифікатор замовника,Код ЄДРПОУ замовника. Наприклад: 01234567. У випадку ФОП дані про РНОКПП знеособлюються.,string,true
description,Опис,"Опис предмета договору, у тому числі найменування об’єкта будівництва. Наприклад: Будівництво житлового будинку №19 у складі проекту торговельно-офісно-розважального комплексу (ІІІ черга будівництва).",string,true
parcelNumber,Кадастровий номер,"Кадастровий номер земельної ділянки, на якій розміщується об’єкт будівництва. Наприклад: 12345678901:01:012:0123.",string,true
addressPostCode,Поштовий індекс,Поштовий індекс адреси об'єкта будівництва. Наприклад: 01234.,string,true
addressAdminUnitL1,Країна,Назва держави. У колонці має бути зазначено Україна.,string,true
addressAdminUnitL2,Регіон,Назва регіону. Наприклад: Полтавська область.,string,true
addressAdminUnitL3,Район,Назва району. Наприклад: Броварський район. У разі відсутності вказати null.,string,false
addressPostName,Населений пункт,"Назва населеного пункту або назва селищної чи сільської ради. У колонці потрібно зазначати лише назву (без слова «місто», «селищна рада» і їх скорочень «м.» та «с. р.»). Наприклад: Балта.",string,true
addressThoroughfare,Вулиця або аналог,"Тип та назва площі, майдану, шосе, проспекту, бульвару, алеї, провулку, узвозу тощо. Наприклад: вул. Харківська.",string,true
addressLocatorDesignator,Номер об’єкта,Номер може включати числа та букви. Наприклад: 15-А.,string,true
addressLocatorBuilding,Номер корпусу,"Номер корпусу зазначається числом для об’єктів, які складаються з декількох корпусів. Наприклад: 3. У разі відсутності вказати null.",string,false
periodStartDate,Початок дії,Дата початку дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.,date,true
periodEndDate,Завершення дії,Дата завершення дії договору у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-09-06.,date,true
paymentEndDate,Термін сплати,Граничний термін сплати пайового внеску у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-10-06.,date,true
status,Статус  договору,"Статус договору може мати одне зі значень: Чинний, Виконаний, Скасований, Призупинений. Наприклад: Чинний.",string,true
valueAmount,Сума пайового внеску,"Загальна сума пайового внеску. Число вказується без зазначення валюти («грн», «UAH»). Наприклад: 3000. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
percent,Розмір пайової участі,Розмір пайової участі. Число вказується без відсотка. Наприклад: 3. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
paymentValueAmount,Сплачений внесок,"Сума платежу у гривнях без зазначення валюти («грн», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.",decimal,true
debtValueAmount,Заборгованість,"Наявна заборгованість у гривнях без зазначення валюти («грн», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо заборгованість відсутня, вказати 0.",decimal,true
penyValueAmount,Пеня,"Нарахована пеня у гривнях без зазначення валюти («грн», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо пеня відсутня, вказати 0.",decimal,true
penaltyValueAmount,Штраф,"Нарахований штраф у гривнях без зазначення валюти («грн», «UAH»). Наприклад: 2225.50. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці. Якщо штрафи відсутні, вказати 0.",decimal,true
